QB,RB,WR,TE,OL,Offense,IDL,EDGE,LB,S,CB,Defense,Team,Year
9024346.0,5275190.0,28597229.0,2453213.0,19150146.0,64500124.0,8558325.0,16269884.0,19901899.0,7286117.0,12603136.0,64619361.0,Dolphins,2014
10278077.0,13954903.0,10289462.0,3870027.0,24118962.0,62511431.0,9823887.0,16318199.0,13041933.0,3934664.0,7924243.0,51042926.0,Vikings,2014
4907663.0,9457433.0,19869037.0,4412445.0,22861050.0,61507628.0,8117519.0,8070107.0,8574142.0,3124451.0,17795552.0,45681771.0,Texans,2014
6114325.0,8372771.0,14014025.0,9364040.0,22908605.0,60773766.0,14858320.0,9959422.0,14238165.0,7042189.0,7623157.0,53721253.0,49ers,2014
21008400.0,5120134.0,12922572.0,2083825.0,19002962.0,60137893.0,6171260.0,6942313.0,14546482.0,14367378.0,11998314.0,54025747.0,Giants,2014
17031668.0,6083043.0,18606777.0,5509002.0,11871158.0,59101648.0,27994602.0,10114648.0,13479446.0,5342000.0,4023173.0,60953869.0,Lions,2014
7082926.0,2678257.0,18448822.0,3831981.0,26783400.0,58825386.0,22282539.0,15092287.0,5082772.0,3143824.0,7461353.0,53062775.0,Commanders,2014
5402878.0,6138225.0,15118083.0,3321133.0,27006154.0,56986473.0,7501734.0,7897645.0,9264790.0,4571367.0,7604495.0,36840031.0,Jets,2014
6035575.0,6896110.0,9394069.0,8033603.0,26321377.0,56680734.0,14188978.0,9059903.0,6628324.0,14007775.0,10683260.0,54568240.0,Titans,2014
15446036.0,4537291.0,13923556.0,7369559.0,15395126.0,56671568.0,10516902.0,5631786.0,12844605.0,8593385.0,15181481.0,52768159.0,Patriots,2014
8786939.0,11495196.0,17692219.0,6165390.0,12179435.0,56319179.0,14297941.0,16416918.0,7815650.0,14822053.0,8579227.0,61931789.0,Chiefs,2014
21333138.0,1669039.0,7942649.0,7847766.0,14731514.0,53524106.0,9360367.0,13428435.0,15222160.0,10751868.0,13352245.0,62115075.0,Steelers,2014
10928123.0,3654864.0,10856116.0,8253862.0,19718975.0,53411940.0,16160671.0,14597786.0,13702366.0,6534061.0,17739200.0,68734084.0,Bengals,2014
19273750.0,2878903.0,9395943.0,2464445.0,18882444.0,52895485.0,7465236.0,23761153.0,11140825.0,7570989.0,19240070.0,69178273.0,Packers,2014
12764666.0,2815945.0,5655361.0,9965144.0,21402763.0,52603879.0,5927135.0,5288895.0,10078315.0,4115045.0,21287488.0,46696878.0,Cowboys,2014
16676701.0,2653397.0,14667325.0,4410632.0,13774076.0,52182131.0,25825251.0,9394096.0,6943566.0,3473804.0,16867423.0,62504140.0,Cardinals,2014
5512169.0,3929661.0,17087432.0,4133809.0,20487478.0,51150549.0,26581339.0,14179861.0,4809468.0,10665150.0,12689893.0,68925711.0,Buccaneers,2014
8743113.0,11891700.0,4162200.0,9273200.0,16431582.0,50501795.0,6505547.0,26696480.0,9299071.0,4944876.0,1839412.0,49285386.0,Panthers,2014
2807980.0,1529301.0,10771737.0,4683350.0,30648671.0,50441039.0,17269848.0,13935899.0,7257125.0,6699334.0,17398562.0,62560768.0,Browns,2014
9554830.0,6308882.0,8703307.0,10592682.0,15272558.0,50432259.0,11745833.0,17144223.0,13828131.0,2960477.0,4986002.0,50664666.0,Jaguars,2014
2227438.0,9949013.0,6213265.0,7351109.0,23339609.0,49080434.0,11876832.0,14437175.0,11003673.0,14824595.0,6488073.0,58630348.0,Seahawks,2014
15578427.0,1891185.0,6901832.0,4991340.0,17657641.0,47020425.0,21184683.0,14137592.0,5493818.0,5389608.0,11857910.0,58063611.0,Ravens,2014
6126486.0,11520979.0,6857046.0,3098194.0,19208595.0,46811300.0,13808832.0,23537100.0,12589051.0,7300537.0,12531233.0,69766753.0,Bills,2014
9779454.0,4019936.0,11976863.0,2894739.0,16559625.0,45230617.0,18595139.0,16302457.0,7916347.0,7474934.0,15753451.0,66042328.0,Colts,2014
9471691.0,6996329.0,9015614.0,1400205.0,17354097.0,44237936.0,8198430.0,14641333.0,5264934.0,13433828.0,11631671.0,53170196.0,Raiders,2014
19067139.0,2115642.0,23083075.0,7984142.0,25231140.0,77481138.0,9780662.0,21029315.0,3297368.0,11305871.0,13543730.0,58956946.0,Broncos,2015
5245038.0,16960950.0,15700531.0,8705993.0,29660487.0,76272999.0,10108617.0,15465984.0,11870684.0,5565439.0,14643487.0,57654211.0,Vikings,2015
8997885.0,3242342.0,24335809.0,5451490.0,27764389.0,69791915.0,20732031.0,9316339.0,7356014.0,6696517.0,10756352.0,54857253.0,Commanders,2015
5192407.0,6431875.0,20552089.0,4191281.0,33201673.0,69569325.0,17349030.0,3696387.0,10546255.0,8846076.0,31508947.0,71946695.0,Jets,2015
17392354.0,12012071.0,9224526.0,6878554.0,23951203.0,69458708.0,8704164.0,16527523.0,8452587.0,11129568.0,13900914.0,58714756.0,Eagles,2015
14791795.0,4340249.0,16040318.0,12066813.0,21165260.0,68404435.0,7937534.0,12837644.0,12503493.0,11471634.0,4536710.0,49287015.0,Patriots,2015
23002368.0,7201545.0,8556430.0,10790590.0,18814927.0,68365860.0,13709705.0,4619834.0,10188872.0,12240418.0,9571186.0,50330015.0,Chargers,2015
18498450.0,5554369.0,25484600.0,7702332.0,10416454.0,67656205.0,12313980.0,11899684.0,13578562.0,8736044.0,5062376.0,51590646.0,Lions,2015
16725388.0,11448751.0,12781274.0,7560294.0,17921204.0,66436911.0,5097132.0,17841113.0,4210126.0,8796854.0,6925380.0,42870605.0,Bears,2015
11834168.0,2946734.0,16186291.0,5182957.0,29469242.0,65619392.0,23944442.0,5601270.0,9462857.0,4181310.0,22409565.0,65599444.0,Cardinals,2015
20208674.0,2086750.0,23948138.0,2839587.0,15191609.0,64274758.0,14046673.0,11391348.0,6048588.0,7655153.0,5104050.0,44245812.0,Falcons,2015
